,Cat(s),Hair Dryer,Smoke Detector,Wireless Internet,Other pet(s),Dog(s),Smoking Allowed,Heating,24-Hour Check-in,Family/Kid Friendly,Safety Card,Internet,Gym,Breakfast,Indoor Fireplace,Fire Extinguisher,Wheelchair Accessible,Iron,Pool,First Aid Kit,Laptop Friendly Workspace,Doorman,Carbon Monoxide Detector,Shampoo,Dryer,Buzzer/Wireless Intercom,Free Parking on Premises,Hangers,Suitable for Events,Pets Allowed,Washer / Dryer,Hot Tub,Pets live on this property,Kitchen,Elevator in Building,TV,Lock on Bedroom Door,Essentials,Air Conditioning,Washer,Cable TV,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
33,False,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,0.71,1.0,0.0,1.0,1.0,7,3.5,4.0,3.0,854.6185567010309,222.0,1325.0,4650.0,500.0,7,2,1125,0,0,0,2,5,75.0,8.0,9.0,8.0,9.0,9.0,8.0,1,0.99
34,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,True,1.0,1.0,0.0,1.0,1.0,4,1.0,2.0,2.0,854.6185567010309,159.0,788.4818317570931,2613.336189848385,250.0,1,1,1125,11,38,68,309,62,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1,2.27
35,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True,True,1.0,1.0,0.0,2.0,2.0,4,1.0,1.0,2.0,854.6185567010309,125.0,800.0,2700.0,287.61039657020365,2,2,365,30,60,90,353,19,95.0,10.0,10.0,10.0,10.0,10.0,10.0,2,4.35
36,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,0.5,0.999671592775041,0.0,1.0,1.0,8,3.0,3.0,3.0,854.6185567010309,348.0,2500.0,2613.336189848385,750.0,6,3,1125,0,0,0,153,5,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0.97
37,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,0.31,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,854.6185567010309,45.0,450.0,1500.0,287.61039657020365,1,1,1125,28,58,88,363,7,97.0,9.0,8.0,10.0,10.0,10.0,10.0,1,0.9
38,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,1.0,1.0,0.0,2.0,2.0,4,1.0,1.0,2.0,854.6185567010309,150.0,950.0,2950.0,287.61039657020365,2,2,365,16,46,76,351,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.83
39,False,True,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,True,1.0,1.0,1.0,1.0,1.0,2,1.0,0.0,1.0,854.6185567010309,80.0,788.4818317570931,2613.336189848385,287.61039657020365,1,3,1125,12,38,40,201,11,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.98
40,False,True,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,True,1.0,1.0,0.0,1.0,1.0,4,1.0,1.0,2.0,854.6185567010309,110.0,788.4818317570931,2613.336189848385,100.0,2,2,1125,19,46,76,351,71,90.0,10.0,8.0,10.0,10.0,10.0,9.0,1,4.7
41,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,1.0,1.0,0.0,1.0,1.0,3,1.0,1.0,2.0,854.6185567010309,148.0,788.4818317570931,2613.336189848385,287.61039657020365,2,3,365,0,13,43,310,9,91.0,9.0,10.0,9.0,9.0,10.0,10.0,1,0.46
42,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,0.948867981790592,0.999671592775041,0.0,1.0,1.0,4,1.5,2.0,2.0,854.6185567010309,350.0,2100.0,2613.336189848385,500.0,4,2,30,0,3,33,308,41,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1.38
